,id,addr:city,addr:housenumber,addr:postcode,addr:street,description,geometry,latitude,longitude,name,opening_hours,tags,website,coordinates,location_id,zone
50,116,New York,514,10001.0,West 26th Street,Immerse yourself in the captivating world of art as you explore marvellous the pieces that this gallery has to offer,POINT (-74.0037006 40.7498115),40.7498115,-74.0037006,Fergus McCaffrey Gallery,Tu-Sa 10:00-18:00,gallery,https://fergusmccaffrey.com,POINT (-74.0037006 40.7498115),246,West Chelsea/Hudson Yards
51,117,New York,508,10001.0,West 26th Street,Immerse yourself in the captivating world of art as you explore marvellous the pieces that this gallery has to offer,POINT (-74.0035852 40.7497696),40.7497696,-74.0035852,Greene Naftali Gallery,Tu-Sa 10:00-18:00,gallery,https://greenenaftaligallery.com,POINT (-74.0035852 40.7497696),246,West Chelsea/Hudson Yards
52,118,New York,545,10001.0,West 25th Street,Immerse yourself in the captivating world of art as you explore marvellous the pieces that this gallery has to offer,POINT (-74.005004 40.7498665),40.7498665,-74.005004,Marlborough Gallery,Tu-Sa 10:00-18:00,gallery,https://www.marlboroughnewyork.com,POINT (-74.005004 40.7498665),246,West Chelsea/Hudson Yards
53,119,New York,547,10001.0,West 25th Street,Immerse yourself in the captivating world of art as you explore marvellous the pieces that this gallery has to offer,POINT (-74.0051872 40.7499342),40.7499342,-74.0051872,Cheim & Read,Tu-Sa 10:00-18:00,gallery,https://www.cheimread.com,POINT (-74.0051872 40.7499342),246,West Chelsea/Hudson Yards
54,120,New York,555,10001.0,West 25th Street,Immerse yourself in the captivating world of art as you explore marvellous the pieces that this gallery has to offer,POINT (-74.0054024 40.7500313),40.7500313,-74.0054024,Gallery Henoch,Tu-Sa 10:30-18:00,gallery,https://www.galleryhenoch.com,POINT (-74.0054024 40.7500313),246,West Chelsea/Hudson Yards
55,121,New York,545,10001.0,West 25th Street,Immerse yourself in the captivating world of art as you explore marvellous the pieces that this gallery has to offer,POINT (-74.0055421 40.749778),40.749778,-74.0055421,The FLAG Art Foundation,We-Sa 11:00-17:00,gallery,https://www.flagartfoundation.org,POINT (-74.0055421 40.749778),246,West Chelsea/Hudson Yards
56,122,New York,520,10001.0,West 25th Street,Immerse yourself in the captivating world of art as you explore marvellous the pieces that this gallery has to offer,POINT (-74.0042332 40.7492373),40.7492373,-74.0042332,Petzel Gallery,tu-sa 10:00-18:00,gallery,https://www.petzel.com,POINT (-74.0042332 40.7492373),246,West Chelsea/Hudson Yards
57,123,New York,501,10011.0,West 24th Street,Immerse yourself in the captivating world of art as you explore marvellous the pieces that this gallery has to offer,POINT (-74.0038323 40.7485527),40.7485527,-74.0038323,Lehmann Maupin,Tu-Sa 10:00-18:00,gallery,https://www.lehmannmaupin.com,POINT (-74.0038323 40.7485527),246,West Chelsea/Hudson Yards
58,124,New York,505,10011.0,West 24th Street,Immerse yourself in the captivating world of art as you explore marvellous the pieces that this gallery has to offer,POINT (-74.0040119 40.7486434),40.7486434,-74.0040119,Silverlens Galleries,Tu-Sa 10:00-18:00,gallery,https://www.silverlensgalleries.com,POINT (-74.0040119 40.7486434),246,West Chelsea/Hudson Yards
59,125,New York,509,10011.0,West 24th Street,Immerse yourself in the captivating world of art as you explore marvellous the pieces that this gallery has to offer,POINT (-74.0043141 40.7487557),40.7487557,-74.0043141,Marianne Boesky Gallery,Tu-Sa 10:00-18:00,gallery,https://marianneboeskygallery.com,POINT (-74.0043141 40.7487557),246,West Chelsea/Hudson Yards
60,126,New York,507,10011.0,West 24th Street,Immerse yourself in the captivating world of art as you explore marvellous the pieces that this gallery has to offer,POINT (-74.004134 40.7486851),40.7486851,-74.004134,Marianne Boesky Gallery,Tu-Sa 10:00-18:00,gallery,https://marianneboeskygallery.com,POINT (-74.004134 40.7486851),246,West Chelsea/Hudson Yards
61,127,New York,531,10011.0,West 24th Street,Immerse yourself in the captivating world of art as you explore marvellous the pieces that this gallery has to offer,POINT (-74.0050793 40.7491116),40.7491116,-74.0050793,Luhring Augustine Gallery,Tu-Sa 10:00-18:00,gallery,https://luhringaugustine.com,POINT (-74.0050793 40.7491116),246,West Chelsea/Hudson Yards
62,128,New York,541,10011.0,West 24th Street,Immerse yourself in the captivating world of art as you explore marvellous the pieces that this gallery has to offer,POINT (-74.0054902 40.7492448),40.7492448,-74.0054902,Gagosian,Tu-Sa 10:00-18:00,gallery,https://gagosian.com,POINT (-74.0054902 40.7492448),246,West Chelsea/Hudson Yards
63,129,New York,560,10011.0,West 24th Street,Immerse yourself in the captivating world of art as you explore marvellous the pieces that this gallery has to offer,POINT (-74.0061341 40.7492207),40.7492207,-74.0061341,C24 Gallery,Tu-Sa 10:00-18:00,gallery,https://www.c24gallery.com,POINT (-74.0061341 40.7492207),246,West Chelsea/Hudson Yards
64,130,New York,536,10011.0,West 24th Street,Immerse yourself in the captivating world of art as you explore marvellous the pieces that this gallery has to offer,POINT (-74.0055599 40.7490119),40.7490119,-74.0055599,Fredericks & Freiser,Tu-Sa 10:00-18:00,gallery,https://fredericksfreisergallery.com,POINT (-74.0055599 40.7490119),246,West Chelsea/Hudson Yards
65,131,New York,534,10001.0,West 24th Street,Immerse yourself in the captivating world of art as you explore marvellous the pieces that this gallery has to offer,POINT (-74.0054342 40.7489832),40.7489832,-74.0054342,Philippe Labaune Gallery,Tu-Sa 10:00-18:00,gallery,https://www.philippelabaune.com,POINT (-74.0054342 40.7489832),246,West Chelsea/Hudson Yards
66,132,New York,532,10011.0,West 24th Street,Immerse yourself in the captivating world of art as you explore marvellous the pieces that this gallery has to offer,POINT (-74.0053524 40.7489431),40.7489431,-74.0053524,Anna Zorina Gallery,Tu-Sa 10:00-18:00,gallery,https://www.annazorinagallery.com,POINT (-74.0053524 40.7489431),246,West Chelsea/Hudson Yards
67,133,New York,530,10011.0,West 24th Street,Immerse yourself in the captivating world of art as you explore marvellous the pieces that this gallery has to offer,POINT (-74.0052508 40.7489086),40.7489086,-74.0052508,Cavalier Gallery,Tu-Sa 10:00-18:00,gallery,https://www.cavaliergalleries.com,POINT (-74.0052508 40.7489086),246,West Chelsea/Hudson Yards
68,134,New York,524,10011.0,West 24th Street,Immerse yourself in the captivating world of art as you explore marvellous the pieces that this gallery has to offer,POINT (-74.0049963 40.748787),40.748787,-74.0049963,Hunter Dunbar Projects,Tu-Sa 10:00-18:00,gallery,https://www.hunterdunbarprojects.com,POINT (-74.0049963 40.748787),246,West Chelsea/Hudson Yards
69,135,New York,520,10011.0,West 24th Street,Immerse yourself in the captivating world of art as you explore marvellous the pieces that this gallery has to offer,POINT (-74.0048372 40.7487261),40.7487261,-74.0048372,Unix Gallery,Tu-Sa 10:00-18:00,gallery,https://www.unixgallery.com,POINT (-74.0048372 40.7487261),246,West Chelsea/Hudson Yards
70,136,New York,522,10011.0,West 24th Street,Immerse yourself in the captivating world of art as you explore marvellous the pieces that this gallery has to offer,POINT (-74.0048993 40.7487583),40.7487583,-74.0048993,Susan Inglett Gallery,Tu-Sa 10:00-18:00,gallery,https://www.inglettgallery.com,POINT (-74.0048993 40.7487583),246,West Chelsea/Hudson Yards
71,137,New York,508,10011.0,West 24th Street,Immerse yourself in the captivating world of art as you explore marvellous the pieces that this gallery has to offer,POINT (-74.0044742 40.7485502),40.7485502,-74.0044742,Lisson Gallery,Tu-Sa 10:00-18:00,gallery,https://www.lissongallery.com,POINT (-74.0044742 40.7485502),246,West Chelsea/Hudson Yards
72,138,New York,504,10011.0,West 24th Street,Immerse yourself in the captivating world of art as you explore marvellous the pieces that this gallery has to offer,POINT (-74.0043407 40.7485172),40.7485172,-74.0043407,Lisson Gallery,Tu-Sa 10:00-18:00,gallery,https://www.lissongallery.com,POINT (-74.0043407 40.7485172),246,West Chelsea/Hudson Yards
73,139,New York,537b,10011.0,West 23rd Street,Immerse yourself in the captivating world of art as you explore marvellous the pieces that this gallery has to offer,POINT (-74.0055651 40.7484842),40.7484842,-74.0055651,Asya Geisberg Gallery,Tu-Sa 11:00-18:00,gallery,https://www.asyageisberggallery.com,POINT (-74.0055651 40.7484842),246,West Chelsea/Hudson Yards
74,140,New York,539,10011.0,West 23rd Street,Immerse yourself in the captivating world of art as you explore marvellous the pieces that this gallery has to offer,POINT (-74.0056655 40.7485387),40.7485387,-74.0056655,Margaret Thatcher Projects,Tu-Sa 11:00-18:00,gallery,https://thatcherprojects.com,POINT (-74.0056655 40.7485387),246,West Chelsea/Hudson Yards
75,141,New York,559,10011.0,West 23rd Street,Immerse yourself in the captivating world of art as you explore marvellous the pieces that this gallery has to offer,POINT (-74.006396 40.7488232),40.7488232,-74.006396,Crossing Art,Tu-Sa 10:00-18:00,gallery,https://crossingart.com,POINT (-74.006396 40.7488232),246,West Chelsea/Hudson Yards
76,142,New York,520,10011.0,West 23rd Street,Immerse yourself in the captivating world of art as you explore marvellous the pieces that this gallery has to offer,POINT (-74.0049853 40.7478552),40.7478552,-74.0049853,Fremin Gallery,Tu-Sa 11:00-18:00,gallery,https://fremingallery.com,POINT (-74.0049853 40.7478552),246,West Chelsea/Hudson Yards
77,143,New York,515,10001.0,West 29th Street,Immerse yourself in the captivating world of art as you explore marvellous the pieces that this gallery has to offer,POINT (-74.0022364 40.75193),40.75193,-74.0022364,Malin Gallery,Tu-Sa 10:00-18:00,gallery,https://www.malingallery.com,POINT (-74.0022364 40.75193),246,West Chelsea/Hudson Yards
78,144,New York,525,10001.0,West 29th Street,Immerse yourself in the captivating world of art as you explore marvellous the pieces that this gallery has to offer,POINT (-74.0026522 40.7521088),40.7521088,-74.0026522,Microscope Gallery,Tu-Sa 12:00-18:00,gallery,https://microscopegallery.com,POINT (-74.0026522 40.7521088),246,West Chelsea/Hudson Yards
79,145,New York,548,10001.0,West 28th Street,Immerse yourself in the captivating world of art as you explore marvellous the pieces that this gallery has to offer,POINT (-74.0041354 40.7516496),40.7516496,-74.0041354,Viridian Artists,Tu-Sa 10:00-18:00,gallery,https://viridianartist.com,POINT (-74.0041354 40.7516496),246,West Chelsea/Hudson Yards
80,146,New York,548,10001.0,West 28th Street,Immerse yourself in the captivating world of art as you explore marvellous the pieces that this gallery has to offer,POINT (-74.0041652 40.7516054),40.7516054,-74.0041652,Carter Burden Gallery,Tu-Fr 11:00-17:00; Sa 11:00-18:00,gallery,https://www.carterburdengallery.org,POINT (-74.0041652 40.7516054),246,West Chelsea/Hudson Yards
81,147,New York,547,10001.0,West 27th Street,Immerse yourself in the captivating world of art as you explore marvellous the pieces that this gallery has to offer,POINT (-74.0045116 40.7512794),40.7512794,-74.0045116,Blue Mountain Gallery,Tu-Sa 11:00-18:00,gallery,https://www.bluemountaingallery.org,POINT (-74.0045116 40.7512794),246,West Chelsea/Hudson Yards
82,148,New York,547,10001.0,West 27th Street,Immerse yourself in the captivating world of art as you explore marvellous the pieces that this gallery has to offer,POINT (-74.0044236 40.7512504),40.7512504,-74.0044236,Montserrat Contemporary Art,We-Sa 12:00-18:00,gallery,https://montserrat.us,POINT (-74.0044236 40.7512504),246,West Chelsea/Hudson Yards
83,149,New York,547,10001.0,West 27th Street,Immerse yourself in the captivating world of art as you explore marvellous the pieces that this gallery has to offer,POINT (-74.0044835 40.7513197),40.7513197,-74.0044835,Bowery Gallery,Tu-Sa 11:00-18:00,gallery,http://www.bowerygallery.org,POINT (-74.0044835 40.7513197),246,West Chelsea/Hudson Yards
84,150,New York,547,10001.0,West 27th Street,Immerse yourself in the captivating world of art as you explore marvellous the pieces that this gallery has to offer,POINT (-74.004452 40.7513549),40.7513549,-74.004452,Prince Street Gallery,Tu-Sa 11:00-18:00,gallery,https://princestreetgallery.com,POINT (-74.004452 40.7513549),246,West Chelsea/Hudson Yards
85,151,New York,547,10001.0,West 27th Street,Immerse yourself in the captivating world of art as you explore marvellous the pieces that this gallery has to offer,POINT (-74.0043977 40.7512854),40.7512854,-74.0043977,The Painting Center,Tu 10:00-16:00; We-Sa 11:00-18:00,gallery,https://www.thepaintingcenter.org,POINT (-74.0043977 40.7512854),246,West Chelsea/Hudson Yards
86,152,New York,515,10001.0,West 27th Street,Immerse yourself in the captivating world of art as you explore marvellous the pieces that this gallery has to offer,POINT (-74.0031538 40.7507088),40.7507088,-74.0031538,Ross + Kramer Gallery,Tu-Sa 11:00-18:00,gallery,https://rkgallery.com,POINT (-74.0031538 40.7507088),246,West Chelsea/Hudson Yards
87,153,New York,509,10001.0,West 27th Street,Immerse yourself in the captivating world of art as you explore marvellous the pieces that this gallery has to offer,POINT (-74.0029311 40.750597),40.750597,-74.0029311,Kasmin Gallery,Tu-Sa 10:00-18:00,gallery,https://www.kasmingallery.com,POINT (-74.0029311 40.750597),246,West Chelsea/Hudson Yards
88,154,New York,507,10001.0,West 27th Street,Immerse yourself in the captivating world of art as you explore marvellous the pieces that this gallery has to offer,POINT (-74.0027353 40.7505158),40.7505158,-74.0027353,The Global Fine Art Contemporary Art Gallery,-8930,gallery,https://www.artcapitalgain.com,POINT (-74.0027353 40.7505158),246,West Chelsea/Hudson Yards
89,155,New York,297,10001.0,10th Avenue,Immerse yourself in the captivating world of art as you explore marvellous the pieces that this gallery has to offer,POINT (-74.0024698 40.750406),40.750406,-74.0024698,Kasmin Gallery,Tu-Sa 10:00-18:00,gallery,https://www.kasmingallery.com,POINT (-74.0024698 40.750406),246,West Chelsea/Hudson Yards
90,156,New York,293,10001.0,10th Avenue,Immerse yourself in the captivating world of art as you explore marvellous the pieces that this gallery has to offer,POINT (-74.0026414 40.7501683),40.7501683,-74.0026414,Galerie Templon,Tu-Sa 10:00-18:00,gallery,https://www.templon.com,POINT (-74.0026414 40.7501683),246,West Chelsea/Hudson Yards
91,157,New York,520,10001.0,West 27th Street,Immerse yourself in the captivating world of art as you explore marvellous the pieces that this gallery has to offer,POINT (-74.0034944 40.7505666),40.7505666,-74.0034944,Nancy Hoffman Gallery,Tu-Sa 11:00-17:30,gallery,https://www.nancyhoffmangallery.com,POINT (-74.0034944 40.7505666),246,West Chelsea/Hudson Yards
92,158,New York,511,10011.0,West 22nd Street,Immerse yourself in the captivating world of art as you explore marvellous the pieces that this gallery has to offer,POINT (-74.0053206 40.7474277),40.7474277,-74.0053206,Miles McEnery Gallery,Tu-Sa 10:00-18:00,gallery,https://www.milesmcenery.com,POINT (-74.0053206 40.7474277),246,West Chelsea/Hudson Yards
93,159,New York,508,10001.0,West 28th Street,Immerse yourself in the captivating world of art as you explore marvellous the pieces that this gallery has to offer,POINT (-74.0024163 40.7509297),40.7509297,-74.0024163,Sugarlift Gallery,Tu-Fr 10:00-18:00; Sa 12:00-18:00,gallery,https://www.sugarlift.com,POINT (-74.0024163 40.7509297),246,West Chelsea/Hudson Yards
94,160,New York,521,10001.0,West 26th Street,Immerse yourself in the captivating world of art as you explore marvellous the pieces that this gallery has to offer,POINT (-74.0037157 40.7501702),40.7501702,-74.0037157,Davidson Gallery,Tu-Sa 11:00-18:00,gallery,http://www.davidsongallery.com,POINT (-74.0037157 40.7501702),246,West Chelsea/Hudson Yards
95,161,New York,515,10001.0,West 26th Street,Immerse yourself in the captivating world of art as you explore marvellous the pieces that this gallery has to offer,POINT (-74.0035864 40.7500552),40.7500552,-74.0035864,Albertz Benda Gallery,Mo-Fr 10:00-18:00,gallery,http://www.albertzbenda.com,POINT (-74.0035864 40.7500552),246,West Chelsea/Hudson Yards
96,162,New York,521,10001.0,West 26th Street,Immerse yourself in the captivating world of art as you explore marvellous the pieces that this gallery has to offer,POINT (-74.0037594 40.7501299),40.7501299,-74.0037594,Hollis Taggart Gallery,Tu-Sa 11:00-17:00,gallery,https://www.hollistaggart.com,POINT (-74.0037594 40.7501299),246,West Chelsea/Hudson Yards
97,163,New York,515,10001.0,West 26th Street,Immerse yourself in the captivating world of art as you explore marvellous the pieces that this gallery has to offer,POINT (-74.0035148 40.7501029),40.7501029,-74.0035148,Friedman Benda Gallery,Tu-Sa 10:00-18:00,gallery,https://friedmanbenda.com,POINT (-74.0035148 40.7501029),246,West Chelsea/Hudson Yards
98,164,New York,515,10001.0,West 26th Street,Immerse yourself in the captivating world of art as you explore marvellous the pieces that this gallery has to offer,POINT (-74.0035878 40.7501197),40.7501197,-74.0035878,Ryan Lee Gallery,Tu-Sa 10:00-18:00,gallery,https://ryanleegallery.com,POINT (-74.0035878 40.7501197),246,West Chelsea/Hudson Yards
99,165,New York,526,10001.0,West 26th Street,Immerse yourself in the captivating world of art as you explore marvellous the pieces that this gallery has to offer,POINT (-74.0041571 40.7499597),40.7499597,-74.0041571,Thomas Erben Gallery,Tu-Sa 11:00-18:00,gallery,https://www.thomaserben.com,POINT (-74.0041571 40.7499597),246,West Chelsea/Hudson Yards
100,166,New York,526,10001.0,West 26th Street,Immerse yourself in the captivating world of art as you explore marvellous the pieces that this gallery has to offer,POINT (-74.0042354 40.7499417),40.7499417,-74.0042354,BravinLee Gallery,We-Sa 12:00-17:00,gallery,https://www.bravinlee.com,POINT (-74.0042354 40.7499417),246,West Chelsea/Hudson Yards
101,167,New York,526,10001.0,West 26th Street,Immerse yourself in the captivating world of art as you explore marvellous the pieces that this gallery has to offer,POINT (-74.0041101 40.7499777),40.7499777,-74.0041101,Morgan Lehman Gallery,Tu-Sa 11:00-18:00,gallery,https://www.morganlehmangallery.com,POINT (-74.0041101 40.7499777),246,West Chelsea/Hudson Yards
102,168,New York,508,10001.0,West 26th Street,Immerse yourself in the captivating world of art as you explore marvellous the pieces that this gallery has to offer,POINT (-74.0036085 40.7497344),40.7497344,-74.0036085,Hesse Flatow Gallery,Tu-Sa 11:00-18:00,gallery,https://hesseflatow.com,POINT (-74.0036085 40.7497344),246,West Chelsea/Hudson Yards
103,169,New York,526,10001.0,West 26th Street,Immerse yourself in the captivating world of art as you explore marvellous the pieces that this gallery has to offer,POINT (-74.0041149 40.749941),40.749941,-74.0041149,Deborah Bell Photographs,Th-Sa 11:00-17:00,gallery,https://www.deborahbellphotographs.com,POINT (-74.0041149 40.749941),246,West Chelsea/Hudson Yards
104,170,New York,510,10001.0,West 26th Street,Immerse yourself in the captivating world of art as you explore marvellous the pieces that this gallery has to offer,POINT (-74.0036422 40.7497859),40.7497859,-74.0036422,Alexander Gray Associates Gallery,Tu-Sa 10:30-18:00,gallery,https://alexandergray.com,POINT (-74.0036422 40.7497859),246,West Chelsea/Hudson Yards
105,171,New York,508,10001.0,West 26th Street,Immerse yourself in the captivating world of art as you explore marvellous the pieces that this gallery has to offer,POINT (-74.0036348 40.7497076),40.7497076,-74.0036348,Daniel Cooney Fine Art Gallery,We-Sa 11:00-18:00,gallery,https://www.danielcooneyfineart.com,POINT (-74.0036348 40.7497076),246,West Chelsea/Hudson Yards
106,172,New York,508,10001.0,West 26th Street,Immerse yourself in the captivating world of art as you explore marvellous the pieces that this gallery has to offer,POINT (-74.0036627 40.7496717),40.7496717,-74.0036627,David Richard Gallery,Tu-Sa 10:00-18:00,gallery,https://davidrichardgallery.com,POINT (-74.0036627 40.7496717),246,West Chelsea/Hudson Yards
107,173,New York,526,10001.0,West 26th Street,Immerse yourself in the captivating world of art as you explore marvellous the pieces that this gallery has to offer,POINT (-74.0041512 40.7498958),40.7498958,-74.0041512,David Richard Gallery,Tu-Sa 10:00-18:00,gallery,https://davidrichardgallery.com,POINT (-74.0041512 40.7498958),246,West Chelsea/Hudson Yards
108,174,New York,245,10001.0,10th Avenue,Immerse yourself in the captivating world of art as you explore marvellous the pieces that this gallery has to offer,POINT (-74.0036923 40.7487598),40.7487598,-74.0036923,Yossi Milo Gallery,Tu-Sa 10:00-18:00,gallery,https://www.yossimilo.com/,POINT (-74.0036923 40.7487598),246,West Chelsea/Hudson Yards
109,175,New York,510,10001.0,West 25th Street,Immerse yourself in the captivating world of art as you explore marvellous the pieces that this gallery has to offer,POINT (-74.0039931 40.7491212),40.7491212,-74.0039931,Pace Gallery,Tu-Sa 10:00-18:00,gallery,https://www.pacegallery.com,POINT (-74.0039931 40.7491212),246,West Chelsea/Hudson Yards
110,176,New York,515,10011.0,West 22nd Street,Immerse yourself in the captivating world of art as you explore marvellous the pieces that this gallery has to offer,POINT (-74.0055719 40.7475186),40.7475186,-74.0055719,Miles McEnery Gallery,Tu-Sa 10:00-18:00,gallery,https://www.milesmcenery.com,POINT (-74.0055719 40.7475186),246,West Chelsea/Hudson Yards
111,177,New York,525,10011.0,West 22nd Street,Immerse yourself in the captivating world of art as you explore marvellous the pieces that this gallery has to offer,POINT (-74.0057558 40.7476043),40.7476043,-74.0057558,Miles McEnery Gallery,Tu-Sa 10:00-18:00,gallery,https://www.milesmcenery.com,POINT (-74.0057558 40.7476043),246,West Chelsea/Hudson Yards
112,178,New York,520,10011.0,West 21st Street,Immerse yourself in the captivating world of art as you explore marvellous the pieces that this gallery has to offer,POINT (-74.0062465 40.7467488),40.7467488,-74.0062465,Miles McEnery Gallery,Tu-Sa 10:00-18:00,gallery,https://www.milesmcenery.com,POINT (-74.0062465 40.7467488),246,West Chelsea/Hudson Yards
113,179,New York,525,10011.0,West 22nd Street,Immerse yourself in the captivating world of art as you explore marvellous the pieces that this gallery has to offer,POINT (-74.0057016 40.7475857),40.7475857,-74.0057016,Yancey Richardson Gallery,Tu-Sa 10:00-18:00,gallery,https://www.yanceyrichardson.com,POINT (-74.0057016 40.7475857),246,West Chelsea/Hudson Yards
114,180,New York,535,10011.0,West 22nd Street,Immerse yourself in the captivating world of art as you explore marvellous the pieces that this gallery has to offer,POINT (-74.006149 40.7477676),40.7477676,-74.006149,DC Moore Gallery,Tu-Sa 10:00-18:00,gallery,https://www.dcmooregallery.com,POINT (-74.006149 40.7477676),246,West Chelsea/Hudson Yards
115,181,New York,537,10011.0,West 22nd Street,Immerse yourself in the captivating world of art as you explore marvellous the pieces that this gallery has to offer,POINT (-74.0063018 40.7478387),40.7478387,-74.0063018,Dia Chelsea,We-Sa 12:00-18:00,gallery,https://diaart.org/visit/visit-our-locations-sites/dia-chelsea-new-york-united-states,POINT (-74.0063018 40.7478387),246,West Chelsea/Hudson Yards
