addr:housenumber,addr:street,addr:city,addr:postcode,description,name,opening_hours,tourism,website,longitude,latitude,location_id,zone,geometry
616,East 9th Street,New York,,Immerse yourself in the captivating world of art as you explore marvellous the pieces that this gallery has to offer,Theresa Byrnes,Tu 13:30-17:00; Th 14:00-18:00; Fr 14:00-19:00; Sa 13:00-19:00; Su 14:00-17:00,gallery,http://www.theresabyrnes.com/,-73.9795215,40.7258135,4,Alphabet City,POINT (-73.9795215 40.7258135)
155,Avenue C,New York,,Take a trip to the past as you travel by visiting this museum as you observing the rich history provided,Museum of Reclaimed Urban Space,"Tu,Th-Su 11:00-19:00",museum,https://morusnyc.org/,-73.9778791,40.7257313,4,Alphabet City,POINT (-73.9778791 40.7257313)
,Battery Park,New York,10004,,The Battery ,Mo-Su 6:00-00:00,park,https://www.thebattery.org/,-74.01537862,40.70358327,12,Battery Park,POINT(-74.01537862233573 40.703583270284206)
39,Battery Place,New York,10280,Take a trip to the past as you travel by visiting this museum as you observing the rich history provided,Skyscraper Museum,Th-Sa 12:00-18:00,museum,https://skyscraper.org/,-74.0177051,40.7057229,13,Battery Park City,POINT (-74.0177051 40.7057229)
,"West 100th Street, Riverside Dr",,10025,,Firemen's Memorial,Mo-Su 24 hours,attraction,https://www.nycgovparks.org/parks/riverside-park/monuments/482,-73.97328386,40.79875781,24,Bloomingdale,POINT (-73.97328385643567 40.79875781090438)
319,West 107th Street,New York,10025,,Nicholas Roerich Museum,Tu-Fr 12:00-16:00 Sa-Su; 12:00-17:00,museum,https://www.roerich.org/,-73.96896877,40.80308027,24,Bloomingdale,POINT (-73.96896876849017 40.803080270673874)
253,W 125th Street,New York,10027,,Apollo Theater,"Depends on show time, see website",theatre,https://www.apollotheater.org/,-73.95003455,40.81007481,41,Central Harlem,POINT (-73.95003454557084 40.81007481450336)
466,W 152nd Street,New York,10031,,"Dance Theatre of Harlem
","Th-Fr 09:30-19:00, Su 9:30-5:30, Mo 9:30-19:00",theatre,https://www.dancetheatreofharlem.org/,-73.94366653,40.82939533,42,Central Harlem North,POINT (-73.94366653022809 40.82939533227008)
1000,5th Avenue,New York,,Take a trip to the past as you travel by visiting this museum as you observing the rich history provided,The Metropolitan Museum of Art,10:00-17:00; Fr-Sa 10:00-21:00; We off,museum,https://www.metmuseum.org/,-73.9634178,40.7793968,43,Central Park,POINT (-73.9634178 40.7793968)
,East 64th Street,New York,10021,,Central Park Zoo,Mo-Su 10:00-16:30,zoo,http://www.centralparkzoo.com/,-73.97185496,40.76803799,43,Central Park,POINT (-73.97185496091448 40.76803799061872)
,Central Park,New York,,,Central Park,Mo-Su 06:00- 01:00,park,https://www.centralparknyc.org/,-73.96557267,40.78276589,43,Central Park,POINT(-73.96557267440741 40.782765890103136)
,Mulberry Street & Baxter Street,New York,10013,,"Columbus Park
",Mo-Su 6:00-10:00,park,https://www.nycgovparks.org/parks/columbus-park-m015,-74.00005303,40.71570488,45,Chinatown,POINT (-74.00005303208148 40.71570487920854)
215,Central Street,New York,10013,,Museum of Chinese in America,Sa 10:00-18:00,museum,https://www.mocanyc.org/,-73.99901233,40.71951054,45,Chinatown,POINT (-73.99901233484601 40.71951053755542)
1260,6th Ave,New York,10020,,Radio City Music Hall,"Depends on show time, see website",entertainment ,https://www.msg.com/radio-city-music-hall?cmp=van_radiocity,-73.97988064,40.76014663,48,Clinton East,POINT (-73.97988064372488 40.76014662915565)
86,West 46th Street,New York,10036,"Museum of Marine, Aircraft and Space",Intrepid Museum,Mo-Su 10:00-17:00,museum,https://www.intrepidmuseum.org/,-73.9995256,40.7645198,50,Clinton West,POINT (-73.9995256 40.7645198)
75,9th Avenue,New York,10011,"Wether its the Empire State Building or the bustling Chelsea Market, Manhattan is not short of fun and interesting places to explore and socialise!",Chelsea Market,Mo-Sa 07:00-21:00; Su 08:00-20:00,shopping,http://chelseamarket.com/,-74.0069958,40.7429236,68,East Chelsea,POINT (-74.0069958 40.7429236)
453,West 17th Street,New York,10011,Immerse yourself in the captivating world of art as you explore marvellous the pieces that this gallery has to offer,Ulrik Gallery,We-Sa 12:00-18:00,gallery,https://ulrik.nyc,-74.0061805,40.7439372,68,East Chelsea,POINT (-74.0061805 40.7439372)
1230,5th Ave,New York,10029,,El Museo del Barrio,Th-Su 11:00-17:00,museum,https://www.elmuseo.org/,-73.95136339,40.79330509,74,East Harlem North,POINT (-73.95136338790059 40.793305089024614)
1220,5th Avenue,New York,10029,Take a trip to the past as you travel by visiting this museum as you observing the rich history provided,Museum of the City of New York,Fr-Mo 10:00-17:00; Th 10:00-21:00,museum,https://www.mcny.org/,-73.9519079,40.792506,75,East Harlem South,POINT (-73.9519079 40.792506)
1280,5th Avenue,New York,10029,Take a trip to the past as you travel by visiting this museum as you observing the rich history provided,The Africa Center,Su-Th 12:00-20:00,museum,https://www.theafricacenter.org/,-73.9493338,40.7963422,75,East Harlem South,POINT (-73.9493338 40.7963422)
188,East 2nd Street,New York,,Immerse yourself in the captivating world of art as you explore marvellous the pieces that this gallery has to offer,Karma Gallery,Tu-Sa 10:00-18:00,gallery,https://karmakarma.org,-73.9841125,40.7224564,79,East Village,POINT (-73.9841125 40.7224564)
516,East 6th Street,New York,,"A mutant art, class, and event space in the East Village.",Sixth Street Haunted House,"Sa,Su 14:00-19:00",gallery,https://sshh.nyc,-73.9830825,40.7249615,79,East Village,POINT (-73.9830825 40.7249615)
64,Avenue A,New York,10009,Immerse yourself in the captivating world of art as you explore marvellous the pieces that this gallery has to offer,MARCH,Tu-Sa 11:00-18:00,gallery,https://www.marchgallery.org,-73.9845324,40.7244007,79,East Village,POINT (-73.9845324 40.7244007)
12,Fulton Street,New York,10038,Take a trip to the past as you travel by visiting this museum as you observing the rich history provided,South Street Seaport Museum,We-Su 11:00-17:00,museum,https://southstreetseaportmuseum.org/,-74.0036758,40.706628,87,Financial District North,POINT (-74.0036758 40.706628)
185,Greenwich Street,New York,10007,,Westfield World Trade Center,Mo-Sa 10:00-20:00; Su 10:00-19:00,shopping,https://www.westfield.com/westfieldworldtradecenter,-74.01120542,40.71220927,87,Financial District North,POINT(-74.01120542039087 40.71220927158285)
54,Pearl Street,New York,10004,Take a trip to the past as you travel by visiting this museum as you observing the rich history provided,Fraunces Tavern Museum,We-Su 12:00-17:00,museum,https://www.frauncestavernmuseum.org/,-74.0113536,40.7033867,88,Financial District South,POINT (-74.0113536 40.7033867)
1,Bowling Green,New York,10004,Take a trip to the past as you travel by visiting this museum as you observing the rich history provided,National Museum of the American Indian,Mo-Su 10:00-17:00,museum,https://americanindian.si.edu/,-74.0137472,40.7040265,88,Financial District South,POINT (-74.0137472 40.7040265)
119,West 23rd Street,New York,10011,Take a trip to the past as you travel by visiting this museum as you observing the rich history provided,Poster House,"We-Mo 11:00-18:00, Tu off",museum,https://posterhouse.org/,-73.9933334,40.7435904,90,Flatiron,POINT (-73.9933334 40.7435904)
150,West 17th Street,New York,10011,Take a trip to the past as you travel by visiting this museum as you observing the rich history provided,Rubin Museum of Art,"Mo 11:00-17:00, Sa,Su 11:00-18:00; We 11:00-21:00, Th 11:00-17:00, Fr 11:00-22:00",museum,http://rubinmuseum.org/,-73.9977377,40.7400959,90,Flatiron,POINT (-73.9977377 40.7400959)
234,West 42nd Street,New York,10036,"Wether its the Empire State Building or the bustling Chelsea Market, Manhattan is not short of fun and interesting places to explore and socialise!",Ripley's Believe It or Not!,Mo-Su 09:00-01:00,attraction,https://ripleysnewyork.com,-73.9885078,40.756466,100,Garment District,POINT (-73.9885078 40.756466)
,Statue of Liberty,New York,10004,,Statue of Liberty,Mo-Su 09:00-17:00,attraction,https://www.nps.gov/stli/index.htm,-74.04448967,40.68949343,103,Governor's Island/Ellis Island/Liberty Island,POINT (-74.04448967441175 40.68949342729324)
29,East 4th Street,New York,10003,Take a trip to the past as you travel by visiting this museum as you observing the rich history provided,Merchant's House Museum,Sep-May Th-Su 13:00-17:00; Jun-Aug We-Su 13:00-17:00; PH off,museum,https://merchantshouse.org/,-73.9923438,40.7276576,113,Greenwich Village North,POINT (-73.9923438 40.7276576)
526,Laguardia Place,New York,10012,Take a trip to the past as you travel by visiting this museum as you observing the rich history provided,The Renee and Chaim Gross Foundation,"Th,Fr 13:00-17:00",museum,http://www.rcgrossfoundation.org/,-73.99882,40.7284684,114,Greenwich Village South,POINT (-73.99882 40.7284684)
33,Bleecker Street,New York,10012,Immerse yourself in the captivating world of art as you explore marvellous the pieces that this gallery has to offer,Zürcher Studio,Tu-Sa 12:00-18:00; Su 14:00-18:00,gallery,https://galeriezurcher.com,-73.9937321,40.7257629,114,Greenwich Village South,POINT (-73.9937321 40.7257629)
47,Great Jones Street,New York,10012,Immerse yourself in the captivating world of art as you explore marvellous the pieces that this gallery has to offer,La MaMa Galleria,Th-Su 13:00-19:00,gallery,https://lamama.org,-73.992545,40.7265986,114,Greenwich Village South,POINT (-73.992545 40.7265986)
414,W 141st Street,New York,10031,,Hamilton Grange National Memorial,We-Su 10:00-17:00,Attraction,http://www.nps.gov/hagr/index.htm,-73.9471522,40.82160404,116,Hamilton Heights,POINT (-73.94715219954486 40.82160404277699)
898,St Nicholas Avenue,New York,10032,,Sugar Hill Children's Museum of Art & Storytelling,"Th 17:30-20:00, Sa-Sun 10:00-15:00",museum,http://www.sugarhillmuseum.org/,-73.94120073,40.83060499,116,Hamilton Heights,POINT (-73.94120073207611 40.83060499427437)
,"W 190th St &, Amsterdam Ave",New York,10040,,Highbridge Park,Mo-Su 6:00-23:00,Park,https://www.nycgovparks.org/parks/highbridge-park,-73.92566291,40.85407238,120,Highbridge Park,POINT (-73.92566291430934 40.85407238455946)
278,Spring Street,New York,10013,Take a trip to the past as you travel by visiting this museum as you observing the rich history provided,New York City Fire Museum,10:00-17:00,museum,http://www.nycfiremuseum.org/,-74.0069355,40.7255756,125,Hudson Sq,POINT (-74.0069355 40.7255756)
251,Spring Street,New York,10013,"Wether its the Empire State Building or the bustling Chelsea Market, Manhattan is not short of fun and interesting places to explore and socialise!",Color Factory,"Mo, Th, Su 09:30-18:00; Tu 09:30-17:00; We off; Fr, Sa 09:30-20:00",attraction,http://colorfactory.co,-74.0054663,40.7257695,125,Hudson Sq,POINT (-74.0054663 40.7257695)
75,Varick Street,New York,10013,Take a trip to the past as you travel by visiting this museum as you observing the rich history provided,Jackie Robinson Museum,Th-Su 11:00-18:00; Dec 25 off,museum,https://www.jackierobinsonmuseum.org,-74.0068809,40.7231769,125,Hudson Sq,POINT (-74.0068809 40.7231769)
4881,Broadway,New York,10034,Museum in the city's only remaining Dutch colonial farmhouse (built circa 1764) and its garden.,Dyckman Farmhouse Museum,Th-Sa 11:00-16:00; Su 11:00-15:00,museum,https://dyckmanfarmhouse.org/,-73.9228859,40.8673822,127,Inwood,POINT (-73.9228859 40.8673822)
,"Payson Avenue. &, Seaman Avenue",New York,10034,,Inwood Hill Park,Mo-Su 06:00- 01:00,park,https://www.nycgovparks.org/parks/inwood-hill-park,-73.92478673,40.87232079,128,Inwood Hill Park,POINT (-73.92478673207417 40.87232078946028)
240,E 26th Street,New York,10010,,Holographic Studios,Mo-Fr 14:00-18:00,attraction,http://www.holographer.com/,-73.98003627,40.74012964,137,Kips Bay,POINT (-73.98003627256129 40.74012964173791)
,"E. 60th Street &, FDR Drive",New York,10022,,Andrew Haswell Green Park,Mo 06:00-01:00; Tu-Sa 06:00-23:00; Su 06:00-00:00,park,https://www.nycgovparks.org/parks/andrew-haswell-green-park,-73.95743299,40.75982796,140,Lenox Hill East,POINT (-73.95743298975025 40.75982795658405)
725,Park Avenue,New York,10021,,Asia Society and Museum,Tu-Su 11:00-17:00,museum,http://asiasociety.org/new-york,-73.96445565,40.77016065,141,Lenox Hill West,POINT (-73.96445564742066 40.77016065413637)
290,Columbus Avenue,New York,10023,Take a trip to the past as you travel by visiting this museum as you observing the rich history provided,NYC Barber Shop Museum,Tu-Fr 10:00-19:00; Sa 10:00-18:00; Su 11:00-17:00,museum,https://www.nycbarbershopmuseum.com/,-73.9781357,40.7786086,142,Lincoln Square East,POINT (-73.9781357 40.7786086)
860,11th Avenue,New York,10019,Immerse yourself in the captivating world of art as you explore marvellous the pieces that this gallery has to offer,Anya & Andrew Shiva Gallery,Mo-Fr 10:00-18:00,gallery,http://shivagallery.org,-73.9902725,40.771366,143,Lincoln Square West,POINT (-73.9902725 40.771366)
215,Centre Street,New York,10013,Take a trip to the past as you travel by visiting this museum as you observing the rich history provided,Museum of Chinese in America,"Tu, We, Fr-Su 11:00-18:00; Th 11:00-21:00",museum,https://www.mocanyc.org,-73.9990481,40.7194172,144,Little Italy/NoLiTa,POINT (-73.9990481 40.7194172)
558,Broadway,New York,,Take a trip to the past as you travel by visiting this museum as you observing the rich history provided,Museum of Ice Cream,"Mo, We, Th, Su 10:00-19:00; Fr, Sa 10:00-20:30",museum,https://www.museumoficecream.com/new-york-city,-73.9979055,40.7238654,144,Little Italy/NoLiTa,POINT (-73.9979055 40.7238654)
235,Bowery,New York,10002,Take a trip to the past as you travel by visiting this museum as you observing the rich history provided,New Museum,Tu-Su 11:00-18:00,museum,https://www.newmuseum.org/,-73.9928349,40.722347,148,Lower East Side,POINT (-73.9928349 40.722347)
103,Orchard Street,New York,,Take a trip to the past as you travel by visiting this museum as you observing the rich history provided,Lower East Side Tenement Museum,Mo-Su 10:00-18:00,museum,https://www.tenement.org/,-73.9900266,40.7187837,148,Lower East Side,POINT (-73.9900266 40.7187837)
149,Allen Street,New York,10002,Immerse yourself in the captivating world of art as you explore marvellous the pieces that this gallery has to offer,Krause Gallery,We-Su 12:00-18:00,gallery,https://krausegallery.com,-73.9892808,40.720719,148,Lower East Side,POINT (-73.9892808 40.720719)
94,Allen Street,New York,10002,Immerse yourself in the captivating world of art as you explore marvellous the pieces that this gallery has to offer,Magenta Plains,We-Su 11:00-18:00,gallery,http://www.magentaplains.com,-73.9904291,40.7185164,148,Lower East Side,POINT (-73.9904291 40.7185164)
155,Suffolk Street,New York,10002,Immerse yourself in the captivating world of art as you explore marvellous the pieces that this gallery has to offer,Morgan Presents,Tu-Sa 10:00-18:00,gallery,https://www.morgan-presents.com/,-73.9852723,40.7208065,148,Lower East Side,POINT (-73.9852723 40.7208065)
119,Ludlow Street,New York,10002,Immerse yourself in the captivating world of art as you explore marvellous the pieces that this gallery has to offer,Con Artist Collective,Mo-Sa 11:00-19:00,gallery,https://conartistnyc.com,-73.9887194,40.7196295,148,Lower East Side,POINT (-73.9887194 40.7196295)
130,Orchard Street,New York,10002,Immerse yourself in the captivating world of art as you explore marvellous the pieces that this gallery has to offer,Perrotin New York,Tu-Sa 10:00-18:00,gallery,https://perrotin.com,-73.9892959,40.7196517,148,Lower East Side,POINT (-73.9892959 40.7196517)
131,Allen Street,New York,10002,"Contemporary art gallery with a new media focus, showcasing both established and emerging artists.",bitforms gallery,We-Sa 11:00-18:00; Su 12:00-18:00,gallery,https://bitforms.art,-73.990232,40.7200826,148,Lower East Side,POINT (-73.990232 40.7200826)
55,Delancey Street,New York,,Immerse yourself in the captivating world of art as you explore marvellous the pieces that this gallery has to offer,James Fuentes LLC,We-Su 10:00-18:00,gallery,https://jamesfuentes.com/,-73.9911739,40.7191881,148,Lower East Side,POINT (-73.9911739 40.7191881)
16B,Orchard Street,New York,,Chinatown Soup is a creative community in downtown New York.,Chinatown Soup,Mo-Sa 12:00-19:00,gallery,https://chinatownsoup.nyc,-73.9916176,40.7151986,148,Lower East Side,POINT (-73.9916176 40.7151986)
87,Rivington Street,New York,,"EN is an intimate place where artists, musicians, writers, actors, filmmakers, performers and dancers congregate.",Empirical Nonsense,We-Sa 12:00-18:00,gallery,https://empiricalnonsense.today,-73.9889614,40.7201441,148,Lower East Side,POINT (-73.9889614 40.7201441)
36,Orchard Street,New York,10002,Immerse yourself in the captivating world of art as you explore marvellous the pieces that this gallery has to offer,Miguel Abreu Gallery,We-Su 10:00-18:00,gallery,https://miguelabreugallery.com/,-73.9912916,40.7158321,148,Lower East Side,POINT (-73.9912916 40.7158321)
79,Essex Street,New York,10002,Take a trip to the past as you travel by visiting this museum as you observing the rich history provided,International Center of Photography,11:00-19:00; Tu off; Th 11:00-21:00,museum,https://www.icp.org/,-73.9886491,40.718097,148,Lower East Side,POINT (-73.9886491 40.718097)
150,W 100th Street,New York,10025,,Bloomingdale Library,Mo-Th 10:00-19:00; Fr-Sa 10:00-17:00,library,http://www.nypl.org/locations/bloomingdale,-73.96538485,40.80563363,151,Manhattan Valley,POINT (-73.96538484621433 40.80563363228752)
615,West 129th Street,New York,10027,Immerse yourself in the captivating world of art as you explore marvellous the pieces that this gallery has to offer,Miriam and Ira D. Wallach Art Gallery,We-Fr 12:00-20:00; Sa-Su 12:00-18:00,gallery,https://wallach.columbia.edu/,-73.9586445,40.8172422,152,Manhattanville,POINT (-73.9586445 40.8172422)
50,W 225th Street,New York,10463,,The Shops at Marble Hill,Mo-Su 07:00-00:00,shopping,http://www.theshopsatmarblehill.com/,-73.90879642,40.87327784,153,Marble Hill,POINT (-73.90879641638867 40.873277843259125)
99,Gansevoort Street,New York,10014,Take a trip to the past as you travel by visiting this museum as you observing the rich history provided,Whitney Museum of American Art,"We-Th, Sa-Mo 10:30-18:00; Fr 10:30-22:00",museum,https://www.whitney.org/,-74.0089385,40.739633,158,Meatpacking/West Village West,POINT (-74.0089385 40.739633)
11,West 53rd Street,New York,10019,Take a trip to the past as you travel by visiting this museum as you observing the rich history provided,MoMA,"Mo-Sa,Su 10:30-17:30; Fr 10:30-20:00",museum,https://www.moma.org/,-73.9775451,40.761612,161,Midtown Center,POINT (-73.9775451 40.761612)
89,East 42nd Street,New York,,"Wether its the Empire State Building or the bustling Chelsea Market, Manhattan is not short of fun and interesting places to explore and socialise!",Grand Central Terminal,Mo-Su 05:30-02:00,attraction,https://www.grandcentralterminal.com/,-73.9772748,40.7526474,162,Midtown East,POINT (-73.9772748 40.7526474)
2,Columbus Circle,New York,,Take a trip to the past as you travel by visiting this museum as you observing the rich history provided,Museum of Arts and Design,"Tu, We, Fr-Su 10:00-18:00; Th 10:00-21:00",museum,https://www.madmuseum.org/,-73.9820053,40.7673824,163,Midtown North,POINT (-73.9820053 40.7673824)
350,5th Avenue,New York,10018,"Wether its the Empire State Building or the bustling Chelsea Market, Manhattan is not short of fun and interesting places to explore and socialise!",Empire State Building,Mo-Su 08:00-02:00,attraction,https://www.esbnyc.com/explore,-73.9856589,40.748442,164,Midtown South,POINT (-73.9856589 40.748442)
476,5th Avenue,New York,10018,"Wether its the Empire State Building or the bustling Chelsea Market, Manhattan is not short of fun and interesting places to explore and socialise!",New York Public Library,"Mo,Th 08:00-20:00; Tu,We 08:00-21:00; Fr 08:00-18:00; Sa 10:00-18:00; Su 10:00-17:00",attraction,https://www.nypl.org/locations/schwarzman,-73.9822454,40.7532182,164,Midtown South,POINT (-73.9822454 40.7532182)
,W 101st St,New York,10025,,Riverside Park,Mo-Su 06:00-01:00,park,https://www.nycgovparks.org/parks/riverside-park,-73.96711577,40.8098551,166,Morningside Heights,POINT( -73.96711576580026 40.80985511359879)
